Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Trainer initialized on GPU

-----TRAINING-----

TRAIN Epoch 0 | Batchsize: 18 | Steps: 535
TRAIN Epoch 0 | Batch 97 | TOTAL 0.8513 | RECON 0.2974 | BCE 0.5502 | KL 0.0037 | ACC 0.7406 | PRC 0.5215 | RCL 0.0122 | F1 0.0239
TRAIN Epoch 0 | Batch 98 | TOTAL 0.9656 | RECON 0.3823 | BCE 0.5803 | KL 0.0030 | ACC 0.7253 | PRC 0.5414 | RCL 0.0065 | F1 0.0129
TRAIN Epoch 0 | Batch 99 | TOTAL 0.8557 | RECON 0.3242 | BCE 0.5283 | KL 0.0031 | ACC 0.7562 | PRC 0.6878 | RCL 0.0094 | F1 0.0186
TRAIN Epoch 0 | Batch 100 | TOTAL 0.9459 | RECON 0.3525 | BCE 0.5902 | KL 0.0032 | ACC 0.7129 | PRC 0.5510 | RCL 0.0158 | F1 0.0306
TRAIN Epoch 0 | Batch 101 | TOTAL 0.7483 | RECON 0.2619 | BCE 0.4833 | KL 0.0030 | ACC 0.7976 | PRC 0.4866 | RCL 0.0363 | F1 0.0676
TRAIN Epoch 0 | Batch 102 | TOTAL 0.8387 | RECON 0.3148 | BCE 0.5205 | KL 0.0034 | ACC 0.7730 | PRC 0.4898 | RCL 0.0455 | F1 0.0833
TRAIN Epoch 0 | Batch 103 | TOTAL 0.9416 | RECON 0.3646 | BCE 0.5735 | KL 0.0034 | ACC 0.7270 | PRC 0.4171 | RCL 0.0327 | F1 0.0607
TRAIN Epoch 0 | Batch 104 | TOTAL 0.9039 | RECON 0.3545 | BCE 0.5465 | KL 0.0029 | ACC 0.7532 | PRC 0.4226 | RCL 0.0259 | F1 0.0489
TRAIN Epoch 0 | Batch 105 | TOTAL 0.9326 | RECON 0.3545 | BCE 0.5750 | KL 0.0031 | ACC 0.7157 | PRC 0.6097 | RCL 0.0192 | F1 0.0372
TRAIN Epoch 0 | Batch 106 | TOTAL 0.8106 | RECON 0.2870 | BCE 0.5207 | KL 0.0029 | ACC 0.7733 | PRC 0.4120 | RCL 0.0119 | F1 0.0231
